Segment,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,customer_count
0,1012.66,0.79,270.04,209.94,60.37,596.51,0.17,0.09,0.08,0.11,2.13,2.9,3278.71,974.26,569.0,0.08,11.45,3977
1,3551.15,0.99,7681.62,5095.88,2587.21,653.64,0.95,0.74,0.79,0.07,2.09,89.36,9696.94,7288.74,1985.04,0.29,11.95,409
2,4602.45,0.97,501.86,320.19,181.76,4521.51,0.29,0.14,0.19,0.48,14.29,7.67,7546.16,3484.05,2020.8,0.03,11.39,1197
3,894.91,0.93,1236.18,593.97,642.48,210.57,0.89,0.3,0.71,0.04,0.79,22.09,4213.21,1332.19,646.02,0.27,11.59,3367
